txt_path,image_path,wave_dt,wave_length,wave_pga,wave_rms,wave_mean_abs,wave_cav,wave_arias_proxy,wave_duration_5_95,wave_zero_crossing_rate,wave_dominant_freq,wave_spectral_centroid,wave_predominant_period,wave_intensity_score,wave_cluster,split
h5://C:/Users/12200/project/Dategeneral/Newdatabase/rare_waves_scaled.h5|230,,0.01,2001,0.3546309804457903,0.08338367162978894,0.05426506799045812,1.085844010489067,0.13912626225623403,10.02,0.041,1.1494252873563218,6.248703358575582,0.8700000000000001,0.9699570815450643,0,test
h5://C:/Users/12200/project/Dategeneral/Newdatabase/rare_waves_scaled.h5|104,,0.01,2001,0.27446942795315266,0.03552046344004475,0.02103565483702183,0.4209234532888068,0.025246683493141076,6.9,0.104,2.948525737131434,7.6730667901121645,0.3391525423728814,0.39914163090128757,1,test
h5://C:/Users/12200/project/Dategeneral/Newdatabase/rare_waves_scaled.h5|105,,0.01,2001,0.2753740687044704,0.0331241066706728,0.01696414970479215,0.3394526355928909,0.02195510091902951,5.71,0.0975,5.497251374312843,7.8382188291989205,0.1819090909090909,0.23605150214592274,1,test
h5://C:/Users/12200/project/Dategeneral/Newdatabase/rare_waves_scaled.h5|141,,0.01,2001,0.2900197140138351,0.02522777858525994,0.012322655397939787,0.24657633451277516,0.01273518065506147,7.11,0.0945,3.698150924537731,7.385207612933398,0.2704054054054054,0.1072961373390558,1,test
h5://C:/Users/12200/project/Dategeneral/Newdatabase/rare_waves_scaled.h5|143,,0.01,2001,0.290395311769937,0.038572299073721214,0.02156060964417201,0.4314277989798819,0.02977132333921022,7.2,0.1115,2.598700649675162,6.102206429022112,0.38480769230769235,0.47639484978540775,1,test
h5://C:/Users/12200/project/Dategeneral/Newdatabase/rare_waves_scaled.h5|145,,0.01,2001,0.2910676319732008,0.0391325093195449,0.018719122535574846,0.37456964193685266,0.030642379245741806,4.15,0.0875,5.597201399300349,6.8404357083299026,0.1786607142857143,0.351931330472103,1,test
h5://C:/Users/12200/project/Dategeneral/Newdatabase/rare_waves_scaled.h5|155,,0.01,2001,0.2937447315827385,0.03431010205297774,0.014799871785453328,0.2961454344269211,0.0235554338887438,3.68,0.0895,6.346826586706646,7.723413080281423,0.15755905511811025,0.2017167381974249,1,test
h5://C:/Users/12200/project/Dategeneral/Newdatabase/rare_waves_scaled.h5|175,,0.01,2001,0.3017024017434386,0.04963200930934955,0.02707474393196204,0.5417656260785604,0.04929136032514804,4.58,0.0915,2.6486756621689156,7.993341470571803,0.37754716981132075,0.6437768240343348,1,test
h5://C:/Users/12200/project/Dategeneral/Newdatabase/rare_waves_scaled.h5|206,,0.01,2001,0.3185350451697729,0.03752166094413446,0.01899991052334688,0.3801882095721711,0.028171579550531775,4.5,0.1045,2.498750624687656,8.076312871154412,0.4002,0.4291845493562232,1,test
h5://C:/Users/12200/project/Dategeneral/Newdatabase/rare_waves_scaled.h5|219,,0.01,2001,0.334249601142833,0.03575911123968504,0.015292048198526507,0.3059938844525154,0.0255870678734099,2.37,0.164,4.0479760119940025,10.193251252957431,0.24703703703703708,0.2875536480686695,1,test
